sku,product_name,farm,category,sku_label,serving_oz,package_oz,servings_per_package,functional_role,functional_stacks,edacious_url,edacious_status,microplastics_tested,mercury_below_loq,data_source
SF-YRV-SLC-BLK-001,Salmon Roe Caviar,Yarra Valley,roe,Salmon Roe Caviar (1oz jar),0.2,1.0,5.0,Nutrient Apex — DHA Powerhouse,Brain/Cognitive; Hormone/Fertility,https://eat.edacious.com/brand/seatopia/salmon-roe-caviar,verified,True,True,Light Labs + Edacious
SF-MAR-OST-BLK-001,Osetra Caviar,Marshallberg,roe,Osetra Caviar (1oz tin),0.2,1.0,5.0,Luxury Functional — Ultra-Concentrated DHA + Zinc,Brain/Cognitive,,,False,False,Light Labs + Edacious
SF-OKS-KGS-SHP-001,King Salmon,Ora King,salmon,Ora King King Salmon,7.5,7.5,1.0,Omega Flagship — Highest DHA Fillet,Brain/Cognitive; Heart,,pending,False,False,Light Labs + Edacious
SF-BGB-KGS-SHP-001,King Salmon,Big Glory Bay,salmon,Big Glory Bay King Salmon,8.0,8.0,1.0,Omega Flagship,Brain/Cognitive; Heart,https://eat.edacious.com/brand/seatopia/big-glory-bay-king-salmon,verified,False,False,Light Labs + Edacious
SF-MCA-KGS-SHP-001,King Salmon,Mt Cook,salmon,Mt Cook King Salmon,7.0,7.0,1.0,Omega Flagship — Highest Selenium Salmon,Brain/Cognitive; Heart,https://eat.edacious.com/brand/seatopia/mt-cook-king-salmon,verified,False,False,Light Labs + Edacious
SF-BAK-ATS-SHP-002,Atlantic Salmon,Bakkafrost,salmon,Bakkafrost Atlantic Salmon,6.0,6.0,1.0,Daily Foundation,Heart; Brain/Cognitive,https://eat.edacious.com/brand/seatopia/bakkafrost-atlantic-salmon-fillet,verified,False,False,Light Labs + Edacious
SF-HVF-STT-SHP-001,Steelhead Trout,Hudson Valley,trout,Hudson Valley Steelhead Trout,6.0,6.0,1.0,Underrated Omega — Highest ALA,Brain/Cognitive; Heart,https://eat.edacious.com/brand/seatopia/hudson-valley-steelhead-trout-fillet,verified,False,False,Light Labs + Edacious
SF-CLB-STT-SHP-009,Steelhead Trout,Caleta Bay,trout,Caleta Bay Steelhead Portion,6.0,6.0,1.0,Underrated Omega — Zero Mercury,Brain/Cognitive,https://eat.edacious.com/brand/seatopia/caleta-bay-steelhead-trout-loin,verified,False,True,Light Labs + Edacious
SF-CLB-STT-SHP-002,Steelhead Trout,Caleta Bay,trout,A&I Steelhead Loin,6.0,12.0,2.0,Underrated Omega — Zero Mercury,Brain/Cognitive,https://eat.edacious.com/brand/seatopia/caleta-bay-steelhead-trout-loin,verified,False,True,Light Labs + Edacious
SF-CLB-STT-SHP-001,Steelhead Trout,Caleta Bay,trout,Cold Smoked Steelhead,4.0,4.0,1.0,Underrated Omega — Zero Mercury,Brain/Cognitive,https://eat.edacious.com/brand/seatopia/caleta-bay-steelhead-trout-loin,verified,False,True,Light Labs + Edacious
SF-MCF-RBT-BLK-001,Rainbow Trout,McFarland Springs,trout,McFarland Springs Trout Dogs,3.2,12.8,4.0,Trout Dogs — Family-Friendly Omega,Brain/Cognitive; Performance,https://eat.edacious.com/brand/seatopia/mcfarland-springs-rainbow-trout,verified,False,False,Light Labs + Edacious
SF-SIC-RBT-BLK-001,Rainbow Trout,Smoke in Chimneys,trout,Smoked Trout Pâté (12oz),6.0,12.0,2.0,Smoked Specialty — Vitamin D Rich,Metabolic/Thyroid,,,False,False,Light Labs + Edacious
SF-SIC-RBT-BLK-006,Rainbow Trout,Smoke in Chimneys,trout,Smoked Trout Fillet (5.5oz),5.5,5.5,1.0,Smoked Specialty — Vitamin D Rich,Metabolic/Thyroid,,,False,False,Light Labs + Edacious
SF-EST-BRZ-SHP-001,Branzino,Esteros Lubimar,white,Branzino,6.0,6.0,1.0,Metabolic — Highest Iodine + Solid Omega-3,Metabolic/Thyroid,https://eat.edacious.com/brand/seatopia/esteros-lubimar-branzino-fillet,verified,False,False,Light Labs + Edacious
SF-EST-BRE-SHP-001,Sea Bream,Esteros Lubimar,white,Sea Bream,6.0,6.0,1.0,Metabolic — Iodine + Vitamin D Combo,Metabolic/Thyroid,https://eat.edacious.com/brand/seatopia/esteros-lubimar-sea-bream-fillet,verified,False,False,Light Labs + Edacious
SF-KFC-YLT-SHP-001,Yellowtail,Kingfish Company,white,Yellowtail Sashimi Loin,8.0,8.0,1.0,Lean + Selenium — Performance Protein,Performance/Body Comp,https://eat.edacious.com/brand/seatopia/yellowtail-sashimi-loin,verified,False,False,Light Labs + Edacious
SF-AUS-BRM-SHP-001,Barramundi,Australis,white,Barramundi 5-7oz Filet,6.0,6.0,1.0,Balanced White Fish — Clean Protein,Performance/Body Comp,https://eat.edacious.com/brand/seatopia/barramundi,verified,False,False,Light Labs + Edacious
SF-AUS-BRM-SHP-005,Barramundi,Australis,white,Barramundi 7-9oz Filet,8.0,8.0,1.0,Balanced White Fish — Clean Protein,Performance/Body Comp,https://eat.edacious.com/brand/seatopia/barramundi,verified,False,False,Light Labs + Edacious
SF-AUS-BRM-SHP-009,Barramundi,Australis,white,Barramundi 3-5oz Filet,4.0,4.0,1.0,Balanced White Fish — Clean Protein,Performance/Body Comp,https://eat.edacious.com/brand/seatopia/barramundi,verified,False,False,Light Labs + Edacious
SF-SEC-SCL-SHP-009,Peruvian Scallops,Seacorp,shellfish,Peruvian Scallops IQF (16oz),4.0,16.0,4.0,Clean Protein — Leanest in Lineup,Performance/Body Comp,https://eat.edacious.com/brand/seatopia/half-shell-scallops,verified,True,False,Light Labs + Edacious
SF-SEC-SCL-SHP-001,Peruvian Scallops,Seacorp,shellfish,Half Shell Scallops (7oz),3.5,7.0,2.0,Clean Protein — Leanest in Lineup,Performance/Body Comp,https://eat.edacious.com/brand/seatopia/half-shell-scallops,verified,True,False,Light Labs + Edacious
SF-TAR-BTS-SHP-001,Black Tiger Shrimp,Tarakan,shellfish,Black Tiger Shrimp (1lb bag),4.0,16.0,4.0,Protein + Minerals — Zinc Rich,Performance/Body Comp; Hormone/Fertility,https://eat.edacious.com/brand/seatopia/mangrove-black-tiger-shrimp,verified,False,False,Light Labs + Edacious
